Country;Year;Series;Value
Bangladesh;2017;Population mid-year estimates for females (millions);78.8164
Bangladesh;2017;Sex ratio (males per 100 females);102.6044
Bangladesh;2017;Population aged 0 to 14 years old (percentage);28.2246
Bangladesh;2017;Population aged 60+ years old (percentage);7.4013
Bangladesh;2017;Population density;1226.7452
Bangladesh;2017;Surface area (thousand km2);147.5700
Bangladesh;2019;Population mid-year estimates (millions);163.0462
Bangladesh;2019;Population mid-year estimates for males (millions);82.4738
Bangladesh;2019;Population mid-year estimates for females (millions);80.5724
Bangladesh;2019;Sex ratio (males per 100 females);102.3599
Bangladesh;2019;Population aged 0 to 14 years old (percentage);27.2144
Bangladesh;2019;Population aged 60+ years old (percentage);7.7418
Bangladesh;2019;Population density;1252.5633
Barbados;2005;Population mid-year estimates (millions);0.2763
Barbados;2005;Population mid-year estimates for males (millions);0.1326
Barbados;2005;Population mid-year estimates for females (millions);0.1437
Barbados;2005;Sex ratio (males per 100 females);92.3243
Barbados;2005;Population aged 0 to 14 years old (percentage);20.5633
Barbados;2005;Population aged 60+ years old (percentage);16.1485
Barbados;2005;Population density;642.6116
Barbados;2010;Population mid-year estimates (millions);0.2821
Barbados;2010;Population mid-year estimates for males (millions);0.1354
Barbados;2010;Population mid-year estimates for females (millions);0.1467
Barbados;2010;Sex ratio (males per 100 females);92.2594
Barbados;2010;Population aged 0 to 14 years old (percentage);19.7430
Barbados;2010;Population aged 60+ years old (percentage);18.0859
Barbados;2010;Population density;656.1186
Barbados;2017;Population mid-year estimates (millions);0.2862
Barbados;2017;Population mid-year estimates for males (millions);0.1382
Barbados;2017;Population mid-year estimates for females (millions);0.1480
Barbados;2017;Sex ratio (males per 100 females);93.3901
Barbados;2017;Population aged 0 to 14 years old (percentage);17.6402
Barbados;2017;Population aged 60+ years old (percentage);21.3624
Barbados;2017;Population density;665.6558
Barbados;2017;Surface area (thousand km2);0.4310
Barbados;2019;Population mid-year estimates (millions);0.2870
